,Date,Currency,Mean,Buy,Sell
0,23/05/2012,US DOLLAR,85.1625,85.0611,85.2639
1,23/05/2012,STG POUND,134.1060,133.9330,134.2800
2,23/05/2012,EURO,107.8570,107.7170,107.9970
3,23/05/2012,SA RAND,10.1899,10.1675,10.2122
4,23/05/2012,KES/USHS,29.0739,28.9806,29.1673
5,23/05/2012,KES/TSHS,18.6703,18.5894,18.7512
6,23/05/2012,AE DIRHAM,23.1861,23.1579,23.2143
7,23/05/2012,CAN $,83.2986,83.1981,83.3991
8,23/05/2012,S FRANC,89.8635,89.7438,89.9832
9,23/05/2012,JPY(100),107.0350,106.9200,107.1510
10,23/05/2012,US DOLLAR,85.1625,85.0611,85.2639
11,23/05/2012,STG POUND,134.1060,133.9330,134.2800
12,23/05/2012,EURO,107.8570,107.7170,107.9970
13,23/05/2012,SA RAND,10.1899,10.1675,10.2122
14,23/05/2012,KES/USHS,29.0739,28.9806,29.1673
15,23/05/2012,KES/TSHS,18.6703,18.5894,18.7512
16,23/05/2012,AE DIRHAM,23.1861,23.1579,23.2143
17,23/05/2012,CAN $,83.2986,83.1981,83.3991
18,23/05/2012,S FRANC,89.8635,89.7438,89.9832
19,23/05/2012,JPY(100),107.0350,106.9200,107.1510
20,23/05/2012,US DOLLAR,85.1625,85.0611,85.2639
21,23/05/2012,STG POUND,134.1060,133.9330,134.2800
22,23/05/2012,EURO,107.8570,107.7170,107.9970
23,23/05/2012,SA RAND,10.1899,10.1675,10.2122
24,23/05/2012,KES/USHS,29.0739,28.9806,29.1673
25,23/05/2012,KES/TSHS,18.6703,18.5894,18.7512
26,23/05/2012,AE DIRHAM,23.1861,23.1579,23.2143
27,23/05/2012,CAN $,83.2986,83.1981,83.3991
28,23/05/2012,S FRANC,89.8635,89.7438,89.9832
29,23/05/2012,JPY(100),107.0350,106.9200,107.1510
