,Currency,Buy,Sell
0,USD,159.50,165.00
1,EUR,171.83,181.24
2,GBP,200.62,212.37
3,CHF,182.32,193.16
4,JPY,107.92,113.54
5,ZAR,7.71,10.82
6,NOK,13.19,17.05
7,DKK,20.95,26.01
8,SEK,13.92,17.00
9,CAD,115.88,123.13
10,AUD,102.81,109.37
11,UGX,0.0335,0.0608
12,TZS,0.0569,0.0787
13,HKD,19.99,22.89
14,THB,4.40,6.03
15,AED,42.55,47.89
16,INR,1.88,2.08
17,RWF,0.1000,0.1848
18,BIF,-,-
19,SSP,0.1160,0.1774
20,CNY,17.73,26.37
21,USD,159.50,165.00
22,EUR,171.83,181.24
23,GBP,200.62,212.37
24,CHF,182.32,193.16
25,JPY,107.92,113.54
26,ZAR,7.71,10.82
27,NOK,13.19,17.05
28,DKK,20.95,26.01
29,SEK,13.92,17.00
30,CAD,115.88,123.13
31,AUD,102.81,109.37
32,UGX,0.0335,0.0608
33,TZS,0.0569,0.0787
34,HKD,19.99,22.89
35,THB,4.40,6.03
36,AED,42.55,47.89
37,INR,1.88,2.08
38,RWF,0.1000,0.1848
39,BIF,-,-
40,SSP,0.1160,0.1774
41,CNY,17.73,26.37
