,Item Desc,Item Price
0,L’Oréal Paris Prime Lab Up to 24H Pore Minimizer Face Primer - 30ml,"KSh1,900.00"
1,L'Oréal Paris Infallible 32HR Freshwear Foundation,"KSh3,000.00"
2,L'Oréal Paris 24H Fresh Wear 24H Fresh Wear Foundation Powder,"KSh3,000.00"
3,L'Oreal Paris Color Riche Classic Satin Lipstick - 258 Berry Blush,"KSh2,200.00"
4,Noubamat Powder Foundation,"KSh1,233.00 KSh1,499.00"
5,Nouba Blush On Bubble Bronzer,"KSh1,164.00 KSh2,500.00"
6,Nouba Write & Blend Liner Shadow,"KSh1,213.00 KSh2,500.00"
7,Nouba Daydream EyeLiner And EyeShadow Pen 2,"KSh2,500.00"
8,Maybelline Superstay Active Wear Full Coverage 30 Hour Long-lasting Liquid Foundation,"KSh2,495.00"
9,Garnier Pure Active Intensive Charcoal 3 In 1 150ml,"KSh1,295.00"
10,Garnier Even & Matte Vitamin C Booster Serum 30ml,"KSh1,750.00"
11,Maybelline Fit Me Matte & Poreless Foundation,"KSh1,653.00 KSh1,945.00"
12,Maybelline Fit Me Powder,"KSh1,313.00 KSh1,545.00"
13,Garnier Even & Matte Dark Spot Corrector 30ml,"KSh1,050.00"
14,Maybelline Superstay Matte Ink Liquid -50 VOYAGER,"KSh2,227.00 KSh2,620.00"
15,Maybelline Superstay Matte Ink Liquid - 20 PIONEER,"KSh2,227.00 KSh2,620.00"
